Band_Album
Gang of Youths_Go Farther in Lightness
Brand New_Science Fiction
Chelsea Wolfe_Hiss Spun
The Menzingers_After the Party
Elder (USA-MA)_Reflections of a Floating World
The National_Sleep Well Beast
Converge_I Can Tell You About Pain
"Tyler, the Creator_Flower Boy"
Kauan_Kaiho
Glassjaw_Material Control
Manchester Orchestra_A Black Mile to the Surface
The Ruins Of Beverast_Exuvia
The Great Old Ones_EOD: A Tale of Dark Legacy
King Krule_The OOZ
Fen_Winter
Amenra_Mass VI
The Black Dahlia Murder_Nightbringers
Milo_Who Told You To Think
Converge_The Dusk in Us
Brockhampton_SATURATION II
