ALBUM,ID,genre,RTRADE,RSTONE,Q,PASTE,NME,MOJO,DRWND,CoS,UNCUT,SKINNY,CMPLX,CRACK,GvsB,NOISEY,QUIETUS,STRGUM,UPROXX,VNLFCT,WIRE,POPMAT,PFORK,NPR,SPIN,LINE,TMT,ALTERN,FACT,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s
alice coltrane - world spirituality classics 1,281,new age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,7.5,3.75,70,2,2
dj python - dulce compania,284,deep house,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7.5,3.75,70,2,1
phoenix - ti amo,111,indie pop,NA,NA,38,NA,43,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,10.375,70.03703704,4,0
binker and moses - journey to the mountain of forever,166,jazz,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,4.75,70.14814815,2,1
v/a - mono no aware,295,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,9.5,4.75,70.14814815,2,1
girl ray - earl grey,40,indie pop,40,NA,16,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,10.66666667,70.22222222,3,0
joshua abrams & natural information society - simultonality,227,avant-garde jazz,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,11,5.5,70.25925926,2,1
cloud nothings - life without sound,209,indie rock,NA,NA,NA,NA,NA,NA,NA,14,NA,37,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,11,70.33333333,3,0
chino amobi - paradiso,421,electronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,24,NA,NA,12.5,6.25,70.37037037,2,1
felicia atkinson - hand in hand,426,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,11,NA,NA,12.5,6.25,70.37037037,2,0
lil b - black ken,279,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,45,NA,43,NA,NA,NA,NA,NA,39,44.25,11.0625,70.44444444,4,0
baxter dury - prince of tears,20,synthpop,20,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,7,70.48148148,2,1
james holden & the animal spirits - the animal spirits,340,electronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,7.25,70.51851852,2,1
lil uzi vert - luv is rage 2,248,trap rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,15,7.5,70.55555556,2,1
charlotte gainsbourg - rest,457,art pop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,13,NA,NA,NA,15,7.5,70.55555556,2,0
milo - who told you to think??!!?!?!?!,405,experimental hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,16,8,70.62962963,2,0
call super - arpo,345,IDM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,8.25,70.66666667,2,0
diet cig - swear i'm good at this,137,indie pop,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,36.33,12.11111111,70.7037037,3,0
peter perrett - how the west was won,169,indie rock,NA,NA,NA,NA,NA,22,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,8.5,70.7037037,2,0
mesh - hesaitix,487,electronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,17,18.5,9.25,70.81481481,2,0
ifriqiyya electrique - ruwahine,350,electronic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,19.5,9.75,70.88888889,2,0
yves tumor - experiencing the deposit of faith,483,ambient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,38,20,10,70.92592593,2,1
sparks - hippopotamus,102,art pop,NA,NA,26,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,10.25,70.96296296,2,0
golden teacher - no luscious life,392,dub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,28,NA,NA,NA,NA,NA,NA,NA,NA,20.5,10.25,70.96296296,2,0
alt-j - relaxer,117,art pop,NA,NA,45,NA,38,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,13,71,3,0
foo fighters - concrete and gold,90,alternative rock,NA,49,NA,NA,27,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.33,13.11111111,71.03703704,3,0
pallbearer - heartless,212,doom metal,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,10.75,71.03703704,2,0
goldlink - at what cost,263,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,10.75,71.03703704,2,0
vijay iyer sextet - far from over,76,jazz,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,22.5,11.25,71.11111111,2,0
pan daijing - lack 惊蛰,423,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,37,NA,NA,22.5,11.25,71.11111111,2,1
the horrors - v,95,neo-psychedelia,NA,NA,13,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11.5,71.14814815,2,0
hiss golden messenger - hallelujah anyhow,231,americana,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,11.75,71.18518519,2,0
muna - about u,103,indie pop,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,24,12,71.22222222,2,0
mura masa - mura masa,157,alternative r&b,NA,NA,NA,NA,34,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,12.25,71.25925926,2,0
shabazz palaces - quazarz: born on a gangster star,178,experimental hip hop,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,12.25,71.25925926,2,1
shabazz palaces - quazarz vs. the jealous machines,179,experimental hip hop,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,12.25,71.25925926,2,1
rapsody - laila's wisdom,252,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,24.5,12.25,71.25925926,2,0
harry styles - harry styles,61,pop rock,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,12.5,71.2962963,2,0
future - future,253,hip hop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,12.5,71.2962963,2,0
hand habits - wildly idle (humble before the void),18,indie rock,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,12.75,71.33333333,2,0
forest swords - compassion,99,electronic,NA,NA,20,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5,12.75,71.33333333,2,0
