Band_Album,Rating,ratings,reviews,lists,comments,id
Amenra_Mass VI,4.5,1197,13,13,12609,2579
Amenra_Mass VI,4,2146,19,12,958,2716
Amenra_Mass VI,4.5,685,0,0,0,2317
Amenra_Mass VI,2.5,1455,43,24,10116,883
Amenra_Mass VI,4.5,1265,0,0,9,2406
Amenra_Mass VI,2,641,0,0,0,2759
Amenra_Mass VI,4.5,2748,0,0,11,1470
Amenra_Mass VI,5,733,160,4,65,2506
Amenra_Mass VI,5,2675,0,13,1069,2329
Amenra_Mass VI,1,2960,0,6,55,913
Amenra_Mass VI,4.5,2297,0,95,724,1173
Amenra_Mass VI,1.5,795,0,0,0,1768
Amenra_Mass VI,4.5,1015,0,15,7,727
Amenra_Mass VI,3.5,1251,1,0,1,1799
Amenra_Mass VI,4.5,301,17,14,4898,551
Amenra_Mass VI,4.5,1924,9,24,2645,63
Amenra_Mass VI,3,564,0,0,0,358
Amenra_Mass VI,4.5,667,0,0,636,2160
Amenra_Mass VI,3.5,215,0,0,0,252
Amenra_Mass VI,4,72,0,0,0,1132
Amenra_Mass VI,4.5,330,0,0,0,1552
Amenra_Mass VI,4.5,1110,0,1,27,1404
Amenra_Mass VI,4.5,2084,0,8,1267,175
Amenra_Mass VI,4,1036,8,9,7483,274
Amenra_Mass VI,3.5,655,0,0,0,1746
Amenra_Mass VI,4.5,5176,1,28,36852,1852
Amenra_Mass VI,4.5,1100,0,0,0,2069
Amenra_Mass VI,4.5,3997,48,22,1613,676
Amenra_Mass VI,3.5,133,0,0,0,1647
Amenra_Mass VI,4,1145,23,110,5194,1951
Amenra_Mass VI,4,2285,0,0,1,2359
Amenra_Mass VI,4,635,3,19,1259,2193
Amenra_Mass VI,4,447,0,10,195,2575
Amenra_Mass VI,4,347,0,0,62,1999
Amenra_Mass VI,4,2556,31,66,6254,1936
Amenra_Mass VI,4.5,4923,8,51,4026,723
Amenra_Mass VI,5,490,0,8,192,1811
Brand New_Science Fiction,1,28,0,6,156,1488
Brand New_Science Fiction,3,503,0,4,2,1871
Brand New_Science Fiction,3,172,0,0,0,1337
Brand New_Science Fiction,5,172,0,0,4,83
Brand New_Science Fiction,5,86,0,1,190,2040
Brand New_Science Fiction,4,1058,0,0,228,1076
Brand New_Science Fiction,4.5,31,0,0,0,2165
Brand New_Science Fiction,3.5,454,0,56,3172,2304
Brand New_Science Fiction,3,608,0,0,2,356
Brand New_Science Fiction,4,34,0,0,6,2739
Brand New_Science Fiction,3,1199,9,23,552,2053
Brand New_Science Fiction,4.5,13,0,0,2,338
Brand New_Science Fiction,3,6687,8,179,38961,1382
Brand New_Science Fiction,5,91,1,0,0,1666
Brand New_Science Fiction,4.5,5,0,0,0,1878
Brand New_Science Fiction,4.5,19,0,0,0,1530
Brand New_Science Fiction,4,189,0,2,6,96
Brand New_Science Fiction,5,218,0,0,11,964
Brand New_Science Fiction,4.5,426,0,0,16,953
Brand New_Science Fiction,2.5,70,0,0,0,596
Brand New_Science Fiction,4.5,531,0,0,0,1935
Brand New_Science Fiction,4.5,482,1,2,141,2356
Brand New_Science Fiction,3.5,1002,0,1,14,1493
Brand New_Science Fiction,1,20,0,0,0,109
Brand New_Science Fiction,4,281,0,0,5,1311
Brand New_Science Fiction,3.5,1019,0,2,24,397
Brand New_Science Fiction,4.5,330,0,0,43,1954
Brand New_Science Fiction,3,15,0,1,5,621
Brand New_Science Fiction,4,51,0,0,0,2616
Brand New_Science Fiction,3,218,0,0,14,810
Brand New_Science Fiction,5,2,0,1,0,1394
Brand New_Science Fiction,3,291,0,0,0,2730
Brand New_Science Fiction,4.5,424,0,0,1,2564
