Band_Album,Rating,ratings,reviews,lists,comments
Joy Division_Unknown Pleasures,4.5,395,0,1,1
Joy Division_Unknown Pleasures,4.5,14,0,0,0
Joy Division_Unknown Pleasures,4.5,125,0,0,0
Joy Division_Unknown Pleasures,4.5,527,5,1,99
Joy Division_Unknown Pleasures,4,3335,0,0,0
Joy Division_Unknown Pleasures,4,547,0,6,179
Joy Division_Unknown Pleasures,4.5,994,0,0,0
Joy Division_Unknown Pleasures,5,39,0,0,2
Joy Division_Unknown Pleasures,4.5,374,0,0,59
Joy Division_Unknown Pleasures,5,188,0,0,0
Joy Division_Unknown Pleasures,4.5,184,0,0,0
Joy Division_Unknown Pleasures,4,876,0,0,0
Joy Division_Unknown Pleasures,5,138,0,0,55
Joy Division_Unknown Pleasures,3,1458,29,8,6728
Joy Division_Unknown Pleasures,5,537,0,0,0
Joy Division_Unknown Pleasures,4.5,777,0,0,0
Joy Division_Unknown Pleasures,5,258,0,0,2
Joy Division_Unknown Pleasures,4,673,0,0,0
Joy Division_Unknown Pleasures,3,302,0,0,51
Joy Division_Unknown Pleasures,4.5,336,0,0,0
Joy Division_Unknown Pleasures,5,359,0,1,11
Joy Division_Unknown Pleasures,5,958,0,0,1
Joy Division_Unknown Pleasures,5,964,0,1,253
Joy Division_Unknown Pleasures,4,272,0,0,0
Joy Division_Unknown Pleasures,5,163,0,0,0
Joy Division_Unknown Pleasures,3.5,787,1,12,22
Joy Division_Unknown Pleasures,4.5,470,0,0,3
Joy Division_Unknown Pleasures,5,750,0,9,287
Joy Division_Unknown Pleasures,3.5,96,0,0,0
Joy Division_Unknown Pleasures,5,362,0,0,1
Joy Division_Unknown Pleasures,4,183,0,0,0
Joy Division_Unknown Pleasures,5,1104,0,0,42
Joy Division_Unknown Pleasures,4.5,1880,57,16,939
Joy Division_Unknown Pleasures,3,1545,14,24,5671
Joy Division_Unknown Pleasures,4.5,253,0,0,0
Joy Division_Unknown Pleasures,4,1815,90,72,6173
Joy Division_Unknown Pleasures,5,218,0,0,7
Joy Division_Unknown Pleasures,5,247,0,0,0
Joy Division_Unknown Pleasures,4,1256,35,42,6937
Joy Division_Unknown Pleasures,4,1126,159,54,24140
Joy Division_Unknown Pleasures,4.5,2804,0,0,0
Joy Division_Unknown Pleasures,5,1673,0,14,313
Joy Division_Unknown Pleasures,5,3473,48,105,9680
Joy Division_Unknown Pleasures,4,1018,0,0,1
Joy Division_Unknown Pleasures,4.5,683,0,0,27
Joy Division_Unknown Pleasures,4.5,623,0,0,57
Joy Division_Unknown Pleasures,5,375,4,0,15
Joy Division_Unknown Pleasures,5,305,0,4,309
Joy Division_Unknown Pleasures,5,49,0,0,0
Joy Division_Unknown Pleasures,4.5,295,0,0,0
Joy Division_Unknown Pleasures,5,359,0,0,0
Joy Division_Unknown Pleasures,3.5,1251,1,0,1
Joy Division_Unknown Pleasures,4,851,1,40,4516
Joy Division_Unknown Pleasures,5,584,0,0,0
Joy Division_Unknown Pleasures,3,234,0,5,52
Joy Division_Unknown Pleasures,3.5,2071,119,57,2240
Joy Division_Unknown Pleasures,4.5,1763,0,9,261
Joy Division_Unknown Pleasures,4,629,0,4,9
Joy Division_Unknown Pleasures,4.5,151,0,0,0
Joy Division_Unknown Pleasures,5,592,0,1,4
Joy Division_Unknown Pleasures,5,205,0,0,2
Joy Division_Unknown Pleasures,5,457,0,0,0
Joy Division_Unknown Pleasures,4,403,0,0,0
Joy Division_Unknown Pleasures,5,156,0,0,0
Joy Division_Unknown Pleasures,4,2706,0,165,3460
Joy Division_Unknown Pleasures,4,82,0,0,0
Joy Division_Unknown Pleasures,4,548,0,16,3
Joy Division_Unknown Pleasures,4.5,614,1,2,11
Joy Division_Unknown Pleasures,4,1771,3,31,9048
Joy Division_Unknown Pleasures,3.5,960,0,14,7395
Joy Division_Unknown Pleasures,5,602,0,0,0
Joy Division_Unknown Pleasures,5,124,0,4,19
Joy Division_Unknown Pleasures,5,299,1,0,1
Joy Division_Unknown Pleasures,5,10,0,0,0
Joy Division_Unknown Pleasures,4,592,0,0,0
Joy Division_Unknown Pleasures,4,1752,0,0,0
Joy Division_Unknown Pleasures,4.5,769,78,1,1642
Joy Division_Unknown Pleasures,5,774,2,30,2472
Joy Division_Unknown Pleasures,4,190,0,2,7
Joy Division_Unknown Pleasures,4,125,31,0,34
Joy Division_Unknown Pleasures,5,292,0,0,0
Joy Division_Unknown Pleasures,3.5,1341,0,14,1733
Joy Division_Unknown Pleasures,5,924,0,0,7
Joy Division_Unknown Pleasures,3.5,592,0,0,75
Joy Division_Unknown Pleasures,5,414,0,0,0
Joy Division_Unknown Pleasures,5,1031,0,9,133
Joy Division_Unknown Pleasures,4,313,4,3,8
Joy Division_Unknown Pleasures,4,1074,0,0,0
Joy Division_Unknown Pleasures,4.5,2077,0,0,168
Joy Division_Unknown Pleasures,4.5,4255,0,0,0
Joy Division_Unknown Pleasures,3.5,11181,0,0,1
Joy Division_Unknown Pleasures,4,335,0,0,0
Joy Division_Unknown Pleasures,5,6,0,0,0
Joy Division_Unknown Pleasures,5,577,2,2,13
Joy Division_Unknown Pleasures,3.5,136,0,0,0
Joy Division_Unknown Pleasures,5,114,0,0,1
Joy Division_Unknown Pleasures,5,175,0,0,2
Joy Division_Unknown Pleasures,5,852,0,0,0
Joy Division_Unknown Pleasures,4.5,799,1,20,1857
Joy Division_Unknown Pleasures,4,1043,0,0,9
Joy Division_Unknown Pleasures,4,729,0,0,1
Joy Division_Unknown Pleasures,3.5,100,0,0,0
Joy Division_Unknown Pleasures,4,309,0,0,0
Joy Division_Unknown Pleasures,2.5,1005,2,24,573
Joy Division_Unknown Pleasures,5,87,0,0,1
Joy Division_Unknown Pleasures,4.5,210,0,0,9
Joy Division_Unknown Pleasures,5,1296,0,0,0
Joy Division_Unknown Pleasures,4,34,0,0,0
