Album_Points,Voter_id
15,1
14,1
13,1
12,1
11,1
9,1
8,1
7,1
6,1
5,1
19,2
14,2
12,2
11,2
10,2
9,2
8,2
6,2
6,2
5,2
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
10,4
20,5
10,5
10,5
10,5
10,5
10,5
10,5
10,5
5,5
5,5
15,6
15,6
15,6
15,6
10,6
10,6
5,6
5,6
5,6
5,6
25,7
20,7
10,7
10,7
10,7
5,7
5,7
5,7
5,7
5,7
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
20,14
20,14
15,14
15,14
5,14
5,14
5,14
5,14
5,14
5,14
18,15
12,15
12,15
11,15
10,15
9,15
8,15
8,15
6,15
6,15
25,16
15,16
15,16
10,16
10,16
5,16
5,16
5,16
5,16
5,16
30,17
20,17
15,17
5,17
5,17
5,17
5,17
5,17
5,17
5,17
10,18
10,18
10,18
10,18
10,18
10,18
10,18
10,18
10,18
10,18
10,19
10,19
10,19
10,19
10,19
10,19
10,19
10,19
10,19
10,19
20,20
15,20
15,20
15,20
10,20
5,20
5,20
5,20
5,20
5,20
25,21
15,21
10,21
10,21
10,21
10,21
5,21
5,21
5,21
5,21
30,22
10,22
10,22
10,22
10,22
10,22
5,22
5,22
5,22
5,22
10,23
10,23
10,23
10,23
10,23
10,23
10,23
10,23
10,23
10,23
14,24
11,24
11,24
10,24
9,24
9,24
9,24
9,24
9,24
9,24
10,25
10,25
10,25
10,25
10,25
10,25
10,25
10,25
10,25
10,25
16,26
14,26
12,26
10,26
8,26
8,26
8,26
8,26
8,26
8,26
20,27
15,27
15,27
8,27
8,27
8,27
8,27
8,27
5,27
5,27
15,28
14,28
13,28
12,28
11,28
9,28
8,28
7,28
6,28
5,28
20,29
20,29
15,29
10,29
10,29
5,29
5,29
5,29
5,29
5,29
10,30
10,30
10,30
10,30
10,30
10,30
10,30
10,30
10,30
10,30
30,31
30,31
5,31
5,31
5,31
5,31
5,31
5,31
5,31
5,31
15,32
15,32
10,32
10,32
10,32
10,32
10,32
10,32
5,32
5,32
30,33
20,33
10,33
10,33
5,33
5,33
5,33
5,33
5,33
5,33
20,34
20,34
10,34
10,34
10,34
10,34
5,34
5,34
5,34
5,34
14,35
14,35
12,35
12,35
10,35
9,35
9,35
8,35
7,35
5,35
20,36
15,36
15,36
10,36
10,36
10,36
5,36
5,36
5,36
5,36
15,37
15,37
15,37
10,37
10,37
10,37
10,37
5,37
5,37
5,37
15,38
12,38
12,38
12,38
12,38
10,38
8,38
7,38
7,38
5,38
10,39
10,39
10,39
10,39
10,39
10,39
10,39
10,39
10,39
10,39
25,40
15,40
15,40
10,40
10,40
5,40
5,40
5,40
5,40
5,40
20,41
20,41
20,41
10,41
5,41
5,41
5,41
5,41
5,41
5,41
10,42
10,42
10,42
10,42
10,42
10,42
10,42
10,42
10,42
10,42
15,43
15,43
10,43
10,43
10,43
10,43
10,43
10,43
5,43
5,43
10,44
10,44
10,44
10,44
10,44
10,44
10,44
10,44
10,44
10,44
18,45
14,45
14,45
8,45
8,45
8,45
8,45
8,45
7,45
7,45
10,46
10,46
10,46
10,46
10,46
10,46
10,46
10,46
10,46
10,46
14,47
12,47
12,47
11,47
11,47
10,47
10,47
8,47
7,47
5,47
10,48
10,48
10,48
10,48
10,48
10,48
10,48
10,48
10,48
10,48
16,49
14,49
13,49
11,49
11,49
9,49
8,49
7,49
6,49
5,49
10,50
10,50
10,50
10,50
10,50
10,50
10,50
10,50
10,50
10,50
10,51
10,51
10,51
10,51
10,51
10,51
10,51
10,51
10,51
10,51
15,52
10,52
10,52
10,52
10,52
10,52
10,52
10,52
10,52
5,52
17,53
15,53
12,53
12,53
11,53
10,53
7,53
6,53
5,53
5,53
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
10,54
15,55
10,55
10,55
10,55
10,55
10,55
10,55
10,55
10,55
5,55
30,56
25,56
10,56
5,56
5,56
5,56
5,56
5,56
5,56
5,56
15,57
14,57
13,57
12,57
11,57
10,57
7,57
7,57
6,57
5,57
25,58
15,58
15,58
10,58
10,58
5,58
5,58
5,58
5,58
5,58
20,59
15,59
13,59
12,59
10,59
8,59
7,59
5,59
5,59
5,59
20,60
15,60
10,60
10,60
10,60
10,60
8,60
7,60
5,60
5,60
30,61
20,61
10,61
10,61
5,61
5,61
5,61
5,61
5,61
5,61
30,62
20,62
10,62
10,62
5,62
5,62
5,62
5,62
5,62
5,62
10,63
10,63
10,63
10,63
10,63
10,63
10,63
10,63
10,63
10,63
10,64
10,64
10,64
10,64
10,64
10,64
10,64
10,64
10,64
10,64
17,65
16,65
14,65
11,65
10,65
9,65
8,65
5,65
5,65
5,65
20,66
16,66
8,66
8,66
8,66
8,66
8,66
8,66
8,66
8,66
12,67
12,67
12,67
12,67
12,67
8,67
8,67
8,67
8,67
8,67
15,68
15,68
15,68
10,68
10,68
10,68
10,68
5,68
5,68
5,68
10,69
10,69
10,69
10,69
10,69
10,69
10,69
10,69
10,69
10,69
10,70
10,70
10,70
10,70
10,70
10,70
10,70
10,70
10,70
10,70
15,71
14,71
13,71
12,71
11,71
9,71
8,71
7,71
6,71
5,71
15,72
14,72
12,72
12,72
10,72
10,72
8,72
8,72
6,72
5,72
30,73
20,73
15,73
5,73
5,73
5,73
5,73
5,73
5,73
5,73
10,74
10,74
10,74
10,74
10,74
10,74
10,74
10,74
10,74
10,74
30,75
20,75
10,75
10,75
5,75
5,75
5,75
5,75
5,75
5,75
20,76
15,76
13,76
12,76
10,76
7,76
7,76
6,76
5,76
5,76
20,77
15,77
15,77
10,77
10,77
10,77
5,77
5,77
15,78
15,78
10,78
10,78
10,78
10,78
10,78
10,78
5,78
5,78
10,79
10,79
10,79
10,79
10,79
10,79
10,79
10,79
10,79
10,79
20,80
15,80
13,80
10,80
10,80
8,80
7,80
6,80
6,80
5,80
20,81
20,81
10,81
10,81
10,81
6,81
6,81
6,81
6,81
6,81
10,82
10,82
10,82
10,82
10,82
10,82
10,82
10,82
10,82
10,82
20,83
20,83
15,83
15,83
5,83
5,83
5,83
5,83
5,83
5,83
11,84
11,84
10,84
10,84
10,84
10,84
10,84
